Country,CCPI
Nepal,90.6
"Moldova, Rep.",116.6
North Macedonia,99.8
Malta,99.8
Mauritius,91.3
Malaysia,104.6
Nigeria,144.9
Nicaragua,162.0
Netherlands,98.1
Norway,95.1
Peru,78.1
Philippines,89.5
Poland,99.3
Portugal,99.4
Paraguay,82.8
Romania,97.9
Russian Federation,80.0
Singapore,92.7
El Salvador,104.7
Serbia,96.4
Slovakia,99.0
Slovenia,99.0
Sweden,99.6
Thailand,96.6
Trinidad and Tobago,98.1
Turkey,85.5
"Taiwan, China",95.3
"Tanzania, United Rep.",6.7
Uganda,86.6
Uganda,86.5
Ukraine,111.4
United States,96.5
South Africa,90.3
Albania,95.4
Austria,96.1
Belgium,97.4
Bulgaria,101.8
Belarus,286.6
Brazil,6762150.0
Canada,95.8
Switzerland,100.3
Chile,91.7
China,89.6
Colombia,93.6
Costa Rica,88.8
Cyprus,101.0
Czech Republic,98.2
Germany,97.6
Denmark,97.9
Dominican Republic,85.0
"Egypt, Arab Rep.",50.8
Spain,99.1
Estonia,98.2
Finland,97.9
France,99.1
United Kingdom,97.3
Greece,99.2
Guatemala,112.1
"Hong Kong SAR, China",86.8
Honduras,259.1
Croatia,99.6
Hungary,96.3
Indonesia,83.7
India,108.6
Ireland,98.6
"Iran, Islamic Rep.",72.4
Iraq,99.2
Iceland,95.5
Israel,99.5
Italy,99.5
Jordan,87.8
Japan,97.3
"Korea, Rep.",96.0
"Lao, PDR",95.1
Sri Lanka,80.4
Lithuania,97.1
Luxembourg,97.7
Latvia,96.6
Mexico,94.8
Nepal,94.9
"Moldova, Rep.",116.4
North Macedonia,100.2
Malta,99.6
Mauritius,91.3
Malaysia,104.8
Nigeria,146.2
Nicaragua,162.6
Netherlands,98.1
Norway,95.2
Peru,78.4
Philippines,89.7
Poland,99.2
Portugal,98.5
Paraguay,82.9
Romania,98.1
Russian Federation,80.5
Singapore,93.0
El Salvador,104.8
Serbia,96.8
Slovakia,99.0
Slovenia,99.4
Sweden,99.9
Thailand,96.6
Trinidad and Tobago,98.2
Turkey,85.6
"Taiwan, China",95.3
"Tanzania, United Rep.",6.2
Uganda,86.7
Uganda,86.8
Ukraine,112.0
United States,96.7
South Africa,90.5
Albania,95.6
Austria,96.9
Belgium,97.4
Bulgaria,101.1
Belarus,288.2
Brazil,6797943.6
Canada,96.2
Switzerland,100.5
Chile,92.3
China,89.8
Colombia,93.7
Costa Rica,89.0
Cyprus,101.1
Czech Republic,97.8
Germany,97.6
Denmark,98.2
Dominican Republic,85.2
"Egypt, Arab Rep.",51.6
Spain,99.1
Estonia,97.9
Finland,98.4
France,98.8
United Kingdom,97.7
Greece,103.0
Guatemala,112.3
"Hong Kong SAR, China",86.2
Honduras,260.1
Croatia,99.3
Hungary,97.0
Indonesia,84.1
India,109.4
Ireland,98.4
"Iran, Islamic Rep.",73.2
Iraq,99.6
Iceland,96.0
Israel,99.2
Italy,99.1
Jordan,88.5
Japan,97.3
"Korea, Rep.",96.3
"Lao, PDR",95.8
Sri Lanka,80.7
Lithuania,97.7
Luxembourg,97.7
Latvia,97.2
Mexico,95.1
Nepal,94.9
"Moldova, Rep.",117.7
North Macedonia,100.0
Malta,98.6
Mauritius,91.6
Malaysia,104.9
Nigeria,147.6
Nicaragua,163.3
Netherlands,98.2
Norway,95.6
Peru,78.6
Philippines,89.7
Poland,99.1
Portugal,99.4
Paraguay,83.4
Romania,97.5
Russian Federation,81.0
Singapore,93.2
El Salvador,104.9
Serbia,96.7
Slovakia,99.0
Slovenia,99.8
Sweden,100.3
Thailand,96.7
Trinidad and Tobago,98.2
Turkey,86.1
"Taiwan, China",95.5
"Tanzania, United Rep.",5.8
Uganda,87.3
Uganda,87.5
Ukraine,111.6
United States,96.9
South Africa,91.0
Albania,95.8
Austria,96.9
Belgium,97.6
Bulgaria,101.2
Belarus,290.6
Brazil,6837428.9
Canada,96.4
Switzerland,100.7
Chile,92.5
China,90.0
Colombia,93.8
Costa Rica,89.2
Cyprus,100.5
Czech Republic,98.2
Germany,97.5
Denmark,98.4
Dominican Republic,85.4
"Egypt, Arab Rep.",52.1
Spain,100.0
Estonia,98.0
Finland,98.6
France,98.8
United Kingdom,97.8
Greece,103.0
Guatemala,112.6
"Hong Kong SAR, China",87.5
Honduras,261.4
Croatia,99.3
Hungary,97.1
Indonesia,84.4
India,109.8
Ireland,98.3
"Iran, Islamic Rep.",73.9
Iraq,99.8
Iceland,96.0
Israel,99.6
Italy,99.1
Jordan,88.9
Japan,97.5
"Korea, Rep.",96.4
"Lao, PDR",96.1
Sri Lanka,81.1
Lithuania,97.8
Luxembourg,97.9
Latvia,97.6
Mexico,95.3
Nepal,94.8
"Moldova, Rep.",119.2
North Macedonia,100.1
Malta,98.0
Mauritius,91.9
Malaysia,105.3
Nigeria,148.7
Nicaragua,163.9
Netherlands,98.1
Norway,95.8
Peru,78.8
Philippines,89.8
Poland,99.5
Portugal,99.7
Paraguay,84.1
Romania,97.8
Russian Federation,81.5
Singapore,93.3
El Salvador,104.9
Serbia,97.0
Slovakia,99.2
Slovenia,100.3
Sweden,100.3
Thailand,96.8
Trinidad and Tobago,98.1
Turkey,87.3
"Taiwan, China",95.3
"Tanzania, United Rep.",5.7
Uganda,87.6
Uganda,87.7
Ukraine,111.8
United States,97.1
South Africa,91.2
Albania,95.8
Austria,97.0
Belgium,97.7
Bulgaria,101.3
Belarus,294.7
Brazil,6878623.3
Canada,96.2
Switzerland,100.8
Chile,92.7
China,90.1
Colombia,93.9
Costa Rica,89.5
Cyprus,99.7
Czech Republic,98.0
Germany,97.9
Denmark,98.2
Dominican Republic,85.6
"Egypt, Arab Rep.",52.5
Spain,100.4
Estonia,97.8
Finland,98.4
France,98.8
United Kingdom,98.0
Greece,101.4
Guatemala,113.0
"Hong Kong SAR, China",87.8
Honduras,262.5
Croatia,98.8
Hungary,97.4
Indonesia,84.7
India,110.6
Ireland,98.2
"Iran, Islamic Rep.",75.3
Iraq,99.7
Iceland,96.5
Israel,99.4
Italy,98.8
Jordan,88.9
Japan,97.5
"Korea, Rep.",96.6
"Lao, PDR",96.5
Sri Lanka,80.7
Lithuania,97.8
Luxembourg,98.0
Latvia,97.2
Mexico,95.4
Nepal,95.1
"Moldova, Rep.",120.1
North Macedonia,100.1
Malta,95.5
Mauritius,92.4
Malaysia,105.6
Nigeria,150.2
Nicaragua,164.5
Netherlands,97.6
Norway,96.0
Peru,79.1
Philippines,90.0
Poland,99.4
Portugal,99.5
Paraguay,84.6
Romania,98.0
Russian Federation,81.9
Singapore,93.7
El Salvador,104.9
Serbia,97.0
Slovakia,99.2
Slovenia,100.2
Sweden,100.2
Thailand,96.9
Trinidad and Tobago,98.2
Turkey,87.8
"Taiwan, China",95.3
"Tanzania, United Rep.",5.3
Uganda,87.9
Uganda,87.9
Ukraine,112.2
United States,97.1
South Africa,91.2
Albania,95.9
Austria,97.6
Belgium,97.8
Bulgaria,101.6
Belarus,299.3
Brazil,6922511.8
Canada,95.9
Switzerland,100.4
Chile,93.3
China,90.2
Colombia,94.1
Costa Rica,89.9
Cyprus,98.8
Czech Republic,98.0
Germany,98.1
Denmark,98.1
Dominican Republic,85.8
"Egypt, Arab Rep.",52.9
Spain,100.3
Estonia,97.8
Finland,98.7
France,99.1
United Kingdom,98.1
Greece,102.5
Guatemala,113.3
"Hong Kong SAR, China",88.0
Honduras,263.4
Croatia,98.0
Hungary,97.6
Indonesia,85.0
India,111.1
Ireland,98.2
"Iran, Islamic Rep.",75.9
Iraq,100.0
Iceland,97.0
Israel,99.4
Italy,98.8
Jordan,89.3
Japan,97.5
"Korea, Rep.",96.7
"Lao, PDR",96.6
Sri Lanka,81.2
Lithuania,97.6
Luxembourg,98.0
Latvia,97.0
Mexico,95.8
Nepal,95.1
"Moldova, Rep.",121.1
North Macedonia,100.1
Malta,95.5
Mauritius,92.8
Malaysia,105.8
Nigeria,151.2
Nicaragua,165.1
Netherlands,97.4
Norway,96.2
Peru,79.3
Philippines,90.3
Poland,99.3
Portugal,99.8
Paraguay,84.8
Romania,98.1
Russian Federation,82.1
Singapore,93.7
El Salvador,105.0
Serbia,97.2
Slovakia,99.2
Slovenia,98.8
Sweden,100.6
Thailand,96.9
Trinidad and Tobago,98.4
Turkey,87.5
"Taiwan, China",95.3
"Tanzania, United Rep.",4.5
Uganda,87.9
Uganda,88.1
Ukraine,112.5
United States,97.0
South Africa,91.5
Albania,95.9
Austria,96.5
Belgium,98.0
Bulgaria,101.1
Belarus,302.3
Brazil,6947122.2
Canada,96.1
Switzerland,100.0
Chile,93.5
China,90.3
Colombia,94.5
Costa Rica,89.9
Cyprus,97.5
Czech Republic,98.2
Germany,97.4
Denmark,97.9
Dominican Republic,86.0
"Egypt, Arab Rep.",53.3
Spain,98.2
Estonia,97.8
Finland,98.4
France,98.3
United Kingdom,97.4
Greece,100.5
Guatemala,113.5
"Hong Kong SAR, China",88.4
Honduras,266.5
Croatia,97.8
Hungary,97.8
Indonesia,85.3
India,111.6
Ireland,97.7
"Iran, Islamic Rep.",76.8
Iraq,104.8
Iceland,96.2
Israel,98.7
Italy,98.9
Jordan,90.0
Japan,97.1
"Korea, Rep.",96.9
"Lao, PDR",96.7
Sri Lanka,81.8
Lithuania,97.0
Luxembourg,96.8
Latvia,97.4
Mexico,96.5
Nepal,94.6
"Moldova, Rep.",122.0
North Macedonia,100.0
Malta,93.9
Mauritius,93.1
Malaysia,106.2
Nigeria,151.2
Nicaragua,165.8
Netherlands,97.2
Norway,95.9
Peru,79.5
Philippines,90.3
Poland,98.8
Portugal,98.0
Paraguay,85.0
Romania,98.6
Russian Federation,82.3
Singapore,93.9
El Salvador,105.0
Serbia,98.2
Slovakia,99.2
Slovenia,97.7
Sweden,99.2
Thailand,96.9
Trinidad and Tobago,98.6
Turkey,88.3
"Taiwan, China",95.6
"Tanzania, United Rep.",4.9
Uganda,88.0
Uganda,88.0
Ukraine,112.6
United States,97.2
South Africa,91.9
Albania,96.0
Austria,96.8
Belgium,98.2
Bulgaria,100.6
Belarus,306.6
Brazil,6989946.8
Canada,96.7
Switzerland,100.2
Chile,93.8
China,90.4
Colombia,95.1
Costa Rica,90.6
Cyprus,98.0
Czech Republic,98.4
Germany,98.0
Denmark,98.6
Dominican Republic,86.3
"Egypt, Arab Rep.",53.7
Spain,98.2
Estonia,98.0
Finland,98.7
France,99.1
United Kingdom,97.9
Greece,98.6
Guatemala,113.7
"Hong Kong SAR, China",88.4
Honduras,267.7
Croatia,97.7
Hungary,97.7
Indonesia,85.6
India,112.2
Ireland,98.3
"Iran, Islamic Rep.",77.2
Iraq,100.8
Iceland,97.0
Israel,98.7
Italy,98.9
Jordan,90.5
Japan,97.2
"Korea, Rep.",97.1
"Lao, PDR",96.9
Sri Lanka,82.1
Lithuania,96.6
Luxembourg,98.4
Latvia,97.2
Mexico,96.8
Nepal,94.7
"Moldova, Rep.",122.7
North Macedonia,100.0
Malta,94.7
Mauritius,93.3
Malaysia,106.4
Nigeria,152.2
Nicaragua,166.3
Netherlands,97.6
Norway,96.4
Peru,79.8
Philippines,90.4
Poland,99.0
Portugal,97.8
Paraguay,85.5
Romania,99.1
Russian Federation,82.6
Singapore,93.9
El Salvador,105.0
Serbia,98.3
Slovakia,99.2
Slovenia,98.1
Sweden,99.6
Thailand,97.0
Trinidad and Tobago,98.7
Turkey,88.9
"Taiwan, China",95.3
"Tanzania, United Rep.",4.8
Uganda,88.2
Uganda,88.1
Ukraine,112.0
United States,97.5
South Africa,92.9
Albania,95.9
Austria,98.0
Belgium,98.3
Bulgaria,100.4
Belarus,311.0
Brazil,7030364.3
Canada,96.9
Switzerland,100.6
Chile,94.5
China,90.6
Colombia,95.4
Costa Rica,91.2
Cyprus,99.6
Czech Republic,98.4
Germany,98.4
Denmark,98.9
Dominican Republic,86.6
"Egypt, Arab Rep.",53.9
Spain,98.8
Estonia,98.6
Finland,99.2
France,99.7
United Kingdom,98.2
Greece,101.9
Guatemala,114.0
"Hong Kong SAR, China",88.8
Honduras,268.9
Croatia,98.3
Hungary,97.9
Indonesia,85.9
India,112.8
Ireland,99.2
"Iran, Islamic Rep.",78.1
Iraq,100.1
Iceland,97.5
Israel,99.0
Italy,99.1
Jordan,91.0
Japan,97.5
"Korea, Rep.",97.3
"Lao, PDR",97.0
Sri Lanka,82.5
Lithuania,97.2
Luxembourg,98.5
Latvia,98.0
Mexico,97.0
Nepal,94.9
"Moldova, Rep.",123.1
North Macedonia,99.6
Malta,95.8
Mauritius,93.5
Malaysia,106.5
Nigeria,152.5
Nicaragua,166.9
Netherlands,98.6
Norway,96.7
Peru,80.0
Philippines,90.6
Poland,99.3
Portugal,99.5
Paraguay,85.6
Qatar,93.2
Romania,99.1
Russian Federation,83.2
Singapore,94.2
El Salvador,105.0
Serbia,98.0
Slovakia,99.2
Slovenia,99.4
Sweden,99.7
Thailand,97.1
Trinidad and Tobago,99.0
Turkey,89.9
"Taiwan, China",95.6
"Tanzania, United Rep.",4.7
Uganda,88.3
Uganda,88.2
Ukraine,113.3
United States,97.8
South Africa,94.0
Albania,95.7
Austria,98.2
Belgium,98.4
Bulgaria,100.5
Belarus,315.9
Brazil,7062921.0
Canada,97.0
Switzerland,100.7
Chile,95.3
China,90.7
Colombia,95.6
Costa Rica,91.7
Cyprus,100.4
Czech Republic,98.6
Germany,98.1
Denmark,99.0
Dominican Republic,86.8
"Egypt, Arab Rep.",54.1
Spain,100.1
Estonia,98.8
Finland,99.5
France,99.7
United Kingdom,98.7
Greece,102.4
Guatemala,114.4
"Hong Kong SAR, China",89.5
Honduras,270.2
Croatia,99.0
Hungary,98.0
Indonesia,86.2
India,113.3
Ireland,99.4
"Iran, Islamic Rep.",79.2
Iraq,100.2
Iceland,97.9
Israel,99.3
Italy,99.5
Jordan,91.2
Japan,99.4
"Korea, Rep.",97.4
"Lao, PDR",97.5
Sri Lanka,82.6
Lithuania,97.7
Luxembourg,98.5
Latvia,98.5
Mexico,97.3
Nepal,94.5
"Moldova, Rep.",123.7
North Macedonia,99.6
Malta,98.8
Mauritius,93.7
Malaysia,106.7
Nigeria,152.8
Nicaragua,167.4
Netherlands,99.1
Norway,97.6
Peru,80.2
Philippines,90.7
Poland,99.5
Portugal,99.9
Paraguay,86.0
Qatar,93.6
Romania,99.2
Russian Federation,83.9
Singapore,94.5
El Salvador,105.0
Serbia,98.1
Slovakia,99.5
Slovenia,100.0
Sweden,100.2
Thailand,97.1
Trinidad and Tobago,99.0
Turkey,91.5
"Taiwan, China",95.7
"Tanzania, United Rep.",4.3
Uganda,88.6
Uganda,88.3
Ukraine,115.9
United States,98.0
South Africa,94.2
Albania,95.6
Austria,98.4
Belgium,98.6
Bulgaria,100.3
Belarus,324.1
Brazil,7100704.3
Canada,97.3
Switzerland,100.9
Chile,95.4
China,90.8
Colombia,95.9
Costa Rica,91.9
Cyprus,101.6
Czech Republic,98.7
Germany,98.1
Denmark,98.9
Dominican Republic,87.1
"Egypt, Arab Rep.",54.2
Spain,100.2
Estonia,99.0
Finland,99.3
France,99.7
United Kingdom,98.7
Greece,101.5
Guatemala,114.6
"Hong Kong SAR, China",89.7
Honduras,271.0
Croatia,99.5
Hungary,98.1
Indonesia,86.6
India,113.5
Ireland,99.2
"Iran, Islamic Rep.",81.1
Iraq,99.4
Iceland,97.9
Israel,99.3
Italy,99.4
Jordan,91.4
Japan,99.6
"Korea, Rep.",97.7
"Lao, PDR",97.4
Sri Lanka,82.4
Lithuania,98.0
Luxembourg,98.6
Latvia,98.7
Mexico,97.3
Nepal,96.2
"Moldova, Rep.",123.9
North Macedonia,99.7
Malta,99.9
Mauritius,93.8
Malaysia,106.7
Nigeria,153.7
Nicaragua,168.1
Netherlands,98.7
Norway,97.5
Peru,80.4
Philippines,90.9
Poland,99.5
Portugal,99.9
Paraguay,86.5
Qatar,94.0
Romania,99.2
Russian Federation,84.7
Singapore,94.7
El Salvador,105.1
Serbia,98.1
Slovakia,99.5
Slovenia,100.4
Sweden,100.1
Thailand,97.2
Trinidad and Tobago,99.1
Turkey,92.8
"Taiwan, China",95.8
"Tanzania, United Rep.",3.5
Uganda,88.7
Uganda,88.5
Ukraine,118.5
United States,98.3
South Africa,94.5
Albania,95.5
Austria,98.5
Belgium,98.7
Bulgaria,100.3
Belarus,328.8
Brazil,7143371.5
Canada,97.3
Switzerland,100.7
Chile,95.4
China,90.9
Colombia,96.0
Costa Rica,92.1
Cyprus,102.4
Czech Republic,98.9
Germany,98.3
Denmark,98.7
Dominican Republic,87.3
"Egypt, Arab Rep.",54.5
Spain,100.3
Estonia,99.0
Finland,99.3
France,99.7
United Kingdom,98.9
Greece,102.5
Guatemala,115.0
"Hong Kong SAR, China",90.0
Honduras,272.0
Croatia,100.0
Hungary,98.3
Indonesia,86.8
India,113.9
Ireland,99.4
"Iran, Islamic Rep.",82.0
Iraq,100.9
Iceland,98.4
Israel,99.9
Italy,99.5
Jordan,91.5
Japan,99.5
"Korea, Rep.",97.6
"Lao, PDR",97.4
Sri Lanka,82.5
Lithuania,98.4
Luxembourg,98.7
Latvia,98.9
Mexico,97.5
Nepal,96.0
"Moldova, Rep.",123.7
North Macedonia,99.5
Malta,101.5
Mauritius,93.9
Malaysia,106.9
Nigeria,154.5
Nicaragua,168.8
Netherlands,98.4
Norway,97.3
Peru,80.6
Philippines,91.1
Poland,99.7
Portugal,99.9
Paraguay,86.6
Qatar,93.5
Romania,99.1
Russian Federation,85.6
Singapore,94.7
El Salvador,105.3
Serbia,98.3
Slovakia,99.6
Slovenia,100.7
Sweden,100.3
Thailand,97.2
Trinidad and Tobago,99.2
Turkey,93.0
"Taiwan, China",95.8
"Tanzania, United Rep.",3.5
Uganda,88.7
Uganda,88.7
Ukraine,120.6
United States,98.3
South Africa,95.1
Albania,95.4
Austria,97.9
Belgium,98.9
Bulgaria,100.6
Belarus,331.4
Brazil,7176132.9
Canada,97.2
Switzerland,100.2
Chile,95.4
China,91.0
Colombia,96.0
Costa Rica,92.2
Cyprus,101.9
Czech Republic,99.2
Germany,98.7
Denmark,98.5
Dominican Republic,87.5
"Egypt, Arab Rep.",55.5
Spain,99.0
Estonia,98.7
Finland,99.1
France,99.4
United Kingdom,98.6
Greece,100.7
Guatemala,115.3
"Hong Kong SAR, China",90.0
Honduras,273.0
Croatia,100.2
Hungary,98.5
Indonesia,87.2
India,114.7
Ireland,99.1
"Iran, Islamic Rep.",83.2
Iraq,101.4
Iceland,98.1
Israel,100.0
Italy,99.6
Jordan,91.8
Japan,99.6
"Korea, Rep.",97.8
"Lao, PDR",97.5
Sri Lanka,82.9
Lithuania,97.9
Luxembourg,97.5
Latvia,98.3
Mexico,97.7
Nepal,95.4
"Moldova, Rep.",122.8
North Macedonia,99.6
Malta,101.5
Mauritius,94.2
Malaysia,107.1
Nigeria,155.0
Nicaragua,169.7
Netherlands,99.4
Norway,97.5
Peru,80.8
Philippines,91.7
Poland,99.7
Portugal,99.0
Paraguay,86.9
Qatar,93.4
Romania,99.2
Russian Federation,86.3
Singapore,94.7
El Salvador,105.4
Serbia,98.7
Slovakia,99.6
Slovenia,99.3
Sweden,99.8
Thailand,97.3
Trinidad and Tobago,99.4
Turkey,93.5
"Taiwan, China",95.9
"Tanzania, United Rep.",3.2
Uganda,89.2
Uganda,89.1
Ukraine,122.5
United States,98.3
South Africa,95.5
Albania,95.5
Austria,98.0
Belgium,98.8
Bulgaria,100.7
Belarus,334.0
Brazil,7214363.0
Canada,97.6
Switzerland,100.2
Chile,95.7
China,91.0
Colombia,96.1
Costa Rica,92.4
Cyprus,102.2
Czech Republic,99.2
Germany,98.9
Denmark,98.5
Dominican Republic,87.7
"Egypt, Arab Rep.",56.0
Spain,99.1
Estonia,99.0
Finland,99.5
France,100.2
United Kingdom,99.1
Greece,99.1
Guatemala,115.7
"Hong Kong SAR, China",88.8
Honduras,274.3
Croatia,100.3
Hungary,98.6
Indonesia,87.4
India,115.0
Ireland,99.5
"Iran, Islamic Rep.",84.1
Iraq,101.3
Iceland,98.4
Israel,99.8
Italy,99.9
Jordan,92.0
Japan,99.7
"Korea, Rep.",98.0
"Lao, PDR",97.7
Sri Lanka,83.5
Lithuania,98.2
Luxembourg,99.0
Latvia,98.3
Mexico,97.9
Nepal,99.6
"Moldova, Rep.",122.3
North Macedonia,99.6
Malta,101.6
Mauritius,94.5
Malaysia,107.1
Nigeria,155.9
Nicaragua,170.7
Netherlands,99.5
Norway,97.1
Peru,80.9
Philippines,91.4
Poland,99.7
Portugal,98.8
Paraguay,87.0
Qatar,93.5
Romania,99.4
Russian Federation,86.9
Singapore,94.8
El Salvador,105.5
Serbia,98.6
Slovakia,99.6
Slovenia,99.7
Sweden,99.8
Thailand,97.3
Trinidad and Tobago,99.6
Turkey,93.4
"Taiwan, China",95.9
"Tanzania, United Rep.",3.1
Uganda,89.4
Uganda,89.5
Ukraine,124.8
United States,98.4
South Africa,95.7
Albania,95.7
Austria,98.7
Belgium,98.9
Bulgaria,99.6
Belarus,336.8
Brazil,7258689.3
Canada,97.9
Switzerland,100.4
Chile,96.2
China,91.2
Colombia,96.2
Costa Rica,92.6
Cyprus,101.3
Czech Republic,98.8
Germany,98.8
Denmark,99.0
Dominican Republic,87.9
"Egypt, Arab Rep.",56.4
Spain,99.1
Estonia,98.6
Finland,100.1
France,99.6
United Kingdom,99.2
Greece,102.1
Guatemala,116.0
"Hong Kong SAR, China",91.2
Honduras,275.4
Croatia,99.9
Hungary,98.3
Indonesia,87.5
India,115.1
Ireland,99.2
"Iran, Islamic Rep.",84.6
Iraq,101.7
Iceland,98.3
Israel,99.7
Italy,99.4
Jordan,92.0
Japan,99.6
"Korea, Rep.",97.9
"Lao, PDR",97.9
Sri Lanka,83.7
Lithuania,98.8
Luxembourg,98.8
Latvia,99.3
Mexico,98.2
Nepal,99.5
"Moldova, Rep.",123.3
North Macedonia,99.7
Malta,100.4
Mauritius,94.5
Malaysia,107.6
Nigeria,156.9
Nicaragua,171.5
Netherlands,99.5
Norway,97.9
Peru,81.1
Philippines,91.6
Poland,99.7
Portugal,99.6
Paraguay,87.1
Qatar,93.8
Romania,99.5
Russian Federation,87.6
Singapore,94.8
El Salvador,105.6
Serbia,98.5
Slovakia,99.7
Slovenia,99.9
Sweden,100.0
Thailand,97.4
Trinidad and Tobago,99.6
Turkey,93.5
"Taiwan, China",95.9
"Tanzania, United Rep.",3.1
Uganda,89.1
Uganda,89.4
Ukraine,127.4
United States,98.6
South Africa,96.0
Albania,96.1
Austria,98.7
Belgium,99.0
Bulgaria,99.3
Belarus,339.0
Brazil,7295439.6
Canada,98.3
Switzerland,100.7
Chile,96.7
China,91.3
Colombia,96.4
Costa Rica,92.9
Cyprus,101.0
Czech Republic,99.0
Germany,98.7
Denmark,99.1
Dominican Republic,88.0
"Egypt, Arab Rep.",56.6
Spain,100.0
Estonia,98.9
Finland,100.1
France,99.6
United Kingdom,99.4
Greece,101.8
Guatemala,116.3
"Hong Kong SAR, China",91.3
Honduras,276.5
Croatia,99.8
Hungary,98.6
Indonesia,87.8
India,115.4
Ireland,99.1
"Iran, Islamic Rep.",85.6
Iraq,101.6
Iceland,98.7
Israel,100.0
Italy,99.5
Jordan,92.0
Japan,99.8
"Korea, Rep.",97.9
"Lao, PDR",98.3
Sri Lanka,84.0
Lithuania,99.0
Luxembourg,98.8
Latvia,99.4
Mexico,98.4
Nepal,99.5
"Moldova, Rep.",124.9
North Macedonia,99.9
Malta,99.7
Mauritius,94.7
Malaysia,107.1
Nigeria,158.1
Nicaragua,172.4
Netherlands,99.4
Norway,98.2
Peru,81.4
Philippines,91.6
Poland,99.9
Portugal,99.9
Paraguay,87.2
Qatar,93.9
Romania,99.7
Russian Federation,88.3
Singapore,95.0
El Salvador,105.6
Serbia,98.8
Slovakia,99.9
Slovenia,100.4
Sweden,100.3
Thailand,97.4
Trinidad and Tobago,99.5
Turkey,94.9
"Taiwan, China",95.9
"Tanzania, United Rep.",3.2
Uganda,89.7
Uganda,89.8
Ukraine,130.9
United States,98.8
South Africa,96.3
Albania,96.3
Austria,99.1
Belgium,98.9
Bulgaria,99.4
Belarus,341.4
Brazil,7325949.0
Canada,98.3
Switzerland,100.8
Chile,97.0
China,91.4
Colombia,96.6
Costa Rica,93.0
Cyprus,99.5
Czech Republic,98.8
Germany,98.9
Denmark,99.0
Dominican Republic,88.3
"Egypt, Arab Rep.",56.6
Spain,100.4
Estonia,98.1
Finland,100.0
France,99.4
United Kingdom,99.3
Greece,100.7
Guatemala,116.6
"Hong Kong SAR, China",91.5
Honduras,277.5
Croatia,99.4
Hungary,98.7
Indonesia,88.3
India,115.6
Ireland,99.0
"Iran, Islamic Rep.",86.2
Iraq,101.8
Iceland,98.2
Israel,100.1
Italy,99.2
Jordan,91.5
Japan,99.7
"Korea, Rep.",97.9
"Lao, PDR",98.4
Sri Lanka,83.6
Lithuania,99.2
Luxembourg,98.8
Latvia,99.2
Mexico,98.5
Nepal,99.7
"Moldova, Rep.",125.9
North Macedonia,99.8
Malta,96.8
Mauritius,94.8
Malaysia,107.9
Nigeria,159.4
Nicaragua,173.4
Netherlands,98.8
Norway,98.2
Peru,81.6
Philippines,91.9
Poland,99.8
Portugal,99.8
Paraguay,87.3
Qatar,94.0
Romania,99.9
Russian Federation,89.2
Singapore,95.0
El Salvador,105.6
Serbia,98.7
Slovakia,99.9
Slovenia,100.1
Sweden,100.1
Thailand,97.5
Trinidad and Tobago,99.6
Turkey,95.4
"Taiwan, China",95.8
"Tanzania, United Rep.",3.0
Uganda,90.0
Uganda,89.9
Ukraine,134.3
United States,98.8
South Africa,96.4
Albania,96.4
Austria,99.4
Belgium,99.0
Bulgaria,100.3
Belarus,344.6
Brazil,7372735.7
Canada,98.0
Switzerland,100.6
Chile,97.3
China,91.5
Colombia,97.0
Costa Rica,93.1
Cyprus,98.7
Czech Republic,99.0
Germany,99.3
Denmark,99.1
Dominican Republic,88.4
"Egypt, Arab Rep.",56.9
Spain,100.4
Estonia,98.6
Finland,100.1
France,99.8
United Kingdom,99.5
Greece,101.1
Guatemala,116.9
"Hong Kong SAR, China",91.7
Honduras,278.5
Croatia,98.8
Hungary,98.6
Indonesia,89.2
India,115.9
Ireland,98.9
"Iran, Islamic Rep.",87.0
Iraq,101.8
Iceland,98.7
Israel,100.4
Italy,99.4
Jordan,91.6
Japan,99.6
"Korea, Rep.",98.0
"Lao, PDR",98.5
Sri Lanka,83.8
Lithuania,99.0
Luxembourg,98.7
Latvia,98.9
Mexico,98.7
Montenegro,98.3
Nepal,99.6
"Moldova, Rep.",126.8
North Macedonia,99.7
Malta,96.8
Mauritius,94.7
Malaysia,108.1
Nigeria,160.6
Nicaragua,174.3
Netherlands,98.8
Norway,98.5
Peru,81.9
Philippines,91.6
Poland,99.8
Portugal,100.1
Paraguay,87.5
Qatar,93.4
Romania,100.1
Russian Federation,91.3
Singapore,95.1
El Salvador,105.6
Serbia,98.8
Slovakia,99.7
Slovenia,100.1
Sweden,100.6
Thailand,97.7
Trinidad and Tobago,99.7
Turkey,95.1
"Taiwan, China",95.8
"Tanzania, United Rep.",3.1
Uganda,90.3
Uganda,90.4
Ukraine,138.2
United States,98.6
South Africa,96.7
Albania,96.4
Austria,98.3
Belgium,99.2
Bulgaria,100.2
Belarus,349.1
Brazil,7445057.0
Canada,98.4
Switzerland,100.2
Chile,98.0
China,91.6
Colombia,97.5
Costa Rica,93.3
Cyprus,97.7
Czech Republic,99.2
Germany,98.4
Denmark,98.7
Dominican Republic,88.5
"Egypt, Arab Rep.",57.1
Spain,98.4
Estonia,98.8
Finland,99.3
France,98.7
United Kingdom,98.9
Greece,99.3
Guatemala,117.2
"Hong Kong SAR, China",91.6
Honduras,279.6
Croatia,98.5
Hungary,98.9
